DIM_key,DIM,BAL_key,BAL,LIN_key,LIN,NOISE_key,NOISE,NUM_SAMPLES,SEED_run,Run,AUC_LR,AUC_SVM,AUC_RF,AUC_XGB
Baixa,5,Sem,0.5,Sim,True,Nao,0.0,2000,152,30,0.995575,0.99725,0.997655,0.9980550000000001
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,123,1,0.7607640191004774,0.8051176279406986,0.8059451486287157,0.8030800770019251
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,124,2,0.8273031424495484,0.8366909656539795,0.8345434832240443,0.8270831598272703
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,125,3,0.7377285627140677,0.8122314944748619,0.795926396597415,0.7983164377234431
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,126,4,0.7195169931748293,0.7941079346983675,0.8242057466436661,0.8070455628265707
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,127,5,0.8220099999999999,0.8351175,0.8263974999999999,0.80846
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,128,6,0.7609073554374846,0.7996718377782633,0.7758772330695881,0.7704714703892813
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,129,7,0.8121432152053801,0.8308634032100801,0.8206257926448162,0.8221283230830772
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,130,8,0.7852316771273535,0.8155985096646745,0.8063864369483135,0.8046485459228327
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,131,9,0.833681751918798,0.8374618070451761,0.8305967343558589,0.8279166597914948
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,132,10,0.808052332271403,0.8305306136253767,0.828690340158294,0.8271327770292967
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,133,11,0.8312671054981378,0.8257625724315112,0.8246737409509709,0.824301645589849
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,134,12,0.7594201088452184,0.8413099315518261,0.837921195959567,0.8320493635928028
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,135,13,0.7764576457645764,0.819156915691569,0.8221272127212721,0.817081708170817
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,136,14,0.7760050031269544,0.7917073170731707,0.791146966854284,0.7824515322076298
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,137,15,0.7706429188186716,0.8013285849031544,0.8126189740323999,0.8015132565017009
